portfolio_name,date,ticker,position
종합설계,2023-12-01,MSFT,14.0
종합설계,2023-12-01,NVDA,228.0
종합설계,2024-01-02,AAPL,59.0
종합설계,2024-01-02,AMZN,35.0
종합설계,2024-01-02,MSFT,13.0
종합설계,2024-01-02,NVDA,177.0
종합설계,2024-02-01,AAPL,64.0
종합설계,2024-02-01,AMZN,31.0
종합설계,2024-02-01,MSFT,13.0
종합설계,2024-02-01,NVDA,131.0
종합설계,2024-03-04,AAPL,63.0
종합설계,2024-03-04,AMZN,29.0
종합설계,2024-03-04,MSFT,12.0
종합설계,2024-03-04,NVDA,119.0
종합설계,2024-04-01,AAPL,60.0
종합설계,2024-04-01,AMZN,28.0
종합설계,2024-04-01,MSFT,13.0
종합설계,2024-04-01,NVDA,121.0
종합설계,2024-05-02,AAPL,55.0
종합설계,2024-05-02,AMZN,30.0
종합설계,2024-05-02,MSFT,13.0
종합설계,2024-05-02,NVDA,94.0
종합설계,2024-06-03,AAPL,49.0
종합설계,2024-06-03,AMZN,27.0
종합설계,2024-06-03,MSFT,11.0
종합설계,2024-06-03,NVDA,86.0
종합설계,2024-07-01,AAPL,47.0
종합설계,2024-07-01,AMZN,27.0
종합설계,2024-07-01,MSFT,12.0
종합설계,2024-07-01,NVDA,94.0
종합설계,2024-08-01,AAPL,46.0
종합설계,2024-08-01,AMZN,29.0
종합설계,2024-08-01,MSFT,12.0
종합설계,2024-08-01,NVDA,89.0
종합설계,2024-09-02,AAPL,47.0
종합설계,2024-09-02,AMZN,28.0
종합설계,2024-09-02,MSFT,12.0
종합설계,2024-09-02,NVDA,89.0
종합설계,2024-10-02,AAPL,47.0
종합설계,2024-10-02,AMZN,26.0
종합설계,2024-10-02,MSFT,12.0
종합설계,2024-10-02,NVDA,78.0
종합설계,2024-11-01,AAPL,43.0
종합설계,2024-11-01,AMZN,24.0
종합설계,2024-11-01,MSFT,12.0
종합설계,2024-11-01,NVDA,75.0
