Date,exchange_rate
2008-09-15,1098.800048828125
2008-09-16,1160.0
2008-09-17,1099.5999755859375
2008-09-18,1158.5
2008-09-19,1136.5999755859375
2008-09-22,1119.0
2008-09-23,1147.0999755859375
2008-09-24,1154.199951171875
2008-09-25,1157.300048828125
2008-09-26,1160.0
2008-09-29,1183.699951171875
2008-09-30,1204.800048828125
2008-10-01,1189.9000244140625
2008-10-02,1226.800048828125
2008-10-03,1229.9000244140625
2008-10-06,1268.0999755859375
2008-10-07,1333.5
2008-10-08,1397.5999755859375
2008-10-09,1386.5999755859375
2008-10-10,1313.800048828125
2008-10-13,1229.0
2008-10-14,1209.699951171875
2008-10-15,1249.199951171875
2008-10-16,1362.5
2008-10-17,1337.0
2008-10-20,1309.0
2008-10-21,1311.5999755859375
2008-10-22,1420.300048828125
2008-10-23,1399.4000244140625
2008-10-24,1428.0
2008-10-27,1466.5999755859375
2008-10-28,1415.0999755859375
2008-10-29,1378.800048828125
2008-10-30,1246.0999755859375
2008-10-31,1289.199951171875
2008-11-03,1272.0999755859375
2008-11-04,1258.699951171875
2008-11-05,1277.9000244140625
2008-11-06,1336.9000244140625
2008-11-07,1315.4000244140625
2008-11-10,1329.800048828125
2008-11-11,1334.5999755859375
2008-11-12,1367.0
2008-11-13,1363.699951171875
2008-11-14,1413.800048828125
2008-11-17,1419.0999755859375
2008-11-18,1453.4000244140625
2008-11-19,1456.5
2008-11-20,1506.9000244140625
2008-11-21,1486.0
2008-11-24,1507.9000244140625
2008-11-25,1501.0
2008-11-26,1468.4000244140625
2008-11-27,1474.9000244140625
2008-11-28,1467.9000244140625
2008-12-01,1443.4000244140625
2008-12-02,1465.300048828125
2008-12-03,1463.800048828125
2008-12-04,1487.699951171875
2008-12-05,1467.5999755859375
2008-12-08,1450.0999755859375
2008-12-09,1440.5999755859375
2008-12-10,1393.9000244140625
2008-12-11,1351.9000244140625
2008-12-12,1370.199951171875
2008-12-15,1358.9000244140625
2008-12-16,1324.300048828125
2008-12-17,1318.9000244140625
2008-12-18,1282.699951171875
2008-12-19,1281.4000244140625
2008-12-22,1307.5
2008-12-23,1338.9000244140625
2008-12-24,1318.0999755859375
2008-12-25,1331.699951171875
2008-12-26,1330.5
2008-12-29,1279.199951171875
2008-12-30,1252.9000244140625
2008-12-31,1242.199951171875
2009-01-01,1240.0999755859375
2009-01-02,1322.5
2009-01-05,1307.800048828125
2009-01-06,1304.4000244140625
2009-01-07,1301.0
2009-01-08,1330.4000244140625
2009-01-09,1351.699951171875
2009-01-12,1352.199951171875
2009-01-13,1352.0999755859375
2009-01-14,1348.800048828125
2009-01-15,1384.800048828125
2009-01-16,1346.800048828125
2009-01-19,1365.0
2009-01-20,1358.300048828125
2009-01-21,1354.199951171875
2009-01-22,1367.699951171875
2009-01-23,1377.4000244140625
2009-01-26,1386.0999755859375
2009-01-27,1383.300048828125
2009-01-28,1381.800048828125
2009-01-29,1379.0
2009-01-30,1377.0999755859375
2009-02-02,1390.800048828125
2009-02-03,1394.699951171875
2009-02-04,1377.4000244140625
2009-02-05,1388.5
2009-02-06,1366.9000244140625
2009-02-09,1387.4000244140625
2009-02-10,1393.699951171875
2009-02-11,1396.800048828125
2009-02-12,1391.699951171875
2009-02-13,1405.800048828125
2009-02-16,1423.699951171875
2009-02-17,1453.0
2009-02-18,1461.5
2009-02-19,1483.0
2009-02-20,1489.699951171875
2009-02-23,1504.699951171875
2009-02-24,1500.0999755859375
2009-02-25,1515.5999755859375
2009-02-26,1517.5
2009-02-27,1530.300048828125
2009-03-02,1571.4000244140625
2009-03-03,1553.0
2009-03-04,1546.5999755859375
2009-03-05,1568.5999755859375
2009-03-06,1553.9000244140625
2009-03-09,1547.699951171875
2009-03-10,1504.800048828125
2009-03-11,1460.5
2009-03-12,1484.0
2009-03-13,1479.300048828125
2009-03-16,1439.5999755859375
2009-03-17,1412.5
2009-03-18,1381.9000244140625
2009-03-19,1393.0999755859375
2009-03-20,1399.5
2009-03-23,1382.5
2009-03-24,1391.5999755859375
2009-03-25,1352.800048828125
2009-03-26,1333.5999755859375
